headline,description,last_updated,tag,category,link
"Kronologi Sopir Truk Hantam Motor dan Mobil di Tangerang, Kabur Hindari Kejaran Warga ",,1 November 2024,Megapolitan,News,https://news.kompas.com?source=navbar
"Momen Pertemuan Prabowo dan Jokowi di Solo, Ditemani Bakmi Jawa hingga Tempe Mendoan",,3 November 2024,Nasional,News,https://news.kompas.com?source=navbar
"Saat Lukman Pancing Gus Hans ""Serang"" Petahana di Debat Pilkada Jatim",,3 November 2024,Surabaya,News,https://news.kompas.com?source=navbar
"Jembatan Ambruk di Kepulauan Aru, 44 Orang Terluka Saat Sambut DPRD",,3 November 2024,Regional,News,https://news.kompas.com?source=navbar
"PKL Bermunculan, Tepi Jalur Puncak Bogor Dipasang Pagar Besi",,3 November 2024,Bandung,News,https://news.kompas.com?source=navbar
"Debat Pilkada Jatim, Luluk Nur Hamidah Soroti Korupsi di Pemprov",,3 November 2024,Surabaya,News,https://news.kompas.com?source=navbar
Bahlil: Subsidi BBM dan Listrik Berpotensi Salah Sasaran hingga Rp 100 Triliun,,3 November 2024,VIDEO,News,https://news.kompas.com?source=navbar
Siapa Tega Bunuh Wanita dengan Cara Tebas Kepala?,,31 Oktober 2024,NEWS,News,https://news.kompas.com?source=navbar
[HOAKS] Video Mamah Dedeh Janjikan Bantuan Rp 35 Juta ,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
"[HOAKS] Bantuan Dana Rp 2,5 Juta untuk Pemegang KIS",,,CEK FAKTA,News,https://news.kompas.com?source=navbar
Beragam Hoaks Tokoh Publik Bagikan Uang di Media Sosial...,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[KLARIFIKASI] Tidak Ada Korban Tewas dalam Tabrak Lari Truk di Tangerang,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
"INFOGRAFIK: Foto Manipulasi Pesawat Tersangkut di Jembatan, Simak Faktanya",,,CEK FAKTA,News,https://news.kompas.com?source=navbar
"INFOGRAFIK: Hoaks Kloning Sapi dan Babi di China, Simak Bantahannya",,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[KLARIFIKASI] Tidak Benar Kiper Bahrain Tanggapi Teriakan Suporter Indonesia,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[KLARIFIKASI] Pose Tiga Jari Anies Baswedan Disebar dengan Konteks Keliru,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[HOAKS] WHO Akui Mpox adalah Efek Samping Covid-19,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
[HOAKS] Raffi Ahmad Bagikan Rp 200 Juta Melalui Akun Instagram,,,CEK FAKTA,News,https://news.kompas.com?source=navbar
"INFOGRAFIK: Video Perlihatkan Letusan Gunung, Bukan Kamp Pengungsian Rafah",,,CEK FAKTA,News,https://news.kompas.com?source=navbar
